,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Health Expenditure Australia 2022–23 - Datacube,,,,,,,,,
,,,,,,,,,
Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($),Current per person ($),Constant per person ($)
2021-22,Vic,Primary health care,All other medications,Non-government,Individuals,"3,82,00,29,614","3,88,60,48,835",582,592
2021-22,Vic,Primary health care,All other medications,Non-government,Other sources of fund,"3,09,47,996","3,11,02,657",5,5
2021-22,Vic,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"5,09,16,431","5,63,11,973",8,9
2021-22,Vic,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"2,77,51,65,723","3,06,09,59,884",423,466
2021-22,Vic,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"39,80,49,508","44,02,30,249",61,67
2021-22,Vic,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"20,72,512","21,38,833",0,0
2021-22,Vic,Primary health care,Community health and other,Australian Government,DoHAC and other,"52,76,50,683","54,58,80,067",80,83
2021-22,Vic,Primary health care,Community health and other,Australian Government,Premium rebates,"2,24,197","2,31,371",0,0
2021-22,Vic,Primary health care,Community health and other,Non-government,Health Insurance Funds,"6,26,470","6,46,517",0,0
2021-22,Vic,Primary health care,Community health and other,Non-government,Individuals,"1,14,71,694","1,18,38,788",2,2
2021-22,Vic,Primary health care,Community health and other,Non-government,Other sources of fund,"2,48,04,555","2,55,98,301",4,4
2021-22,Vic,Primary health care,Community health and other,State and local government,State and local government,"1,20,42,66,853","1,24,15,11,432",183,189
2021-22,Vic,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"1,03,23,758","1,05,08,576",2,2
2021-22,Vic,Primary health care,Dental services,Australian Government,DoHAC and other,"10,35,99,692","10,54,54,350",16,16
2021-22,Vic,Primary health care,Dental services,Australian Government,Premium rebates,"15,73,72,901","16,01,90,217",24,24
2021-22,Vic,Primary health care,Dental services,Non-government,Health Insurance Funds,"43,97,44,011","44,76,16,382",67,68
2021-22,Vic,Primary health care,Dental services,Non-government,Individuals,"2,51,64,02,845","2,56,14,51,909",383,390
2021-22,Vic,Primary health care,Dental services,Non-government,Other sources of fund,"94,25,253","95,93,986",1,1
2021-22,Vic,Primary health care,Dental services,State and local government,State and local government,"23,24,81,459","23,66,43,381",35,36
2021-22,Vic,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"2,76,39,852","2,89,19,766",4,4
2021-22,Vic,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"65,49,41,706","68,52,69,981",100,104
2021-22,Vic,Primary health care,Other health practitioners,Australian Government,Premium rebates,"7,03,37,154","7,35,94,245",11,11
2021-22,Vic,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"19,65,41,732","20,56,42,956",30,31
2021-22,Vic,Primary health care,Other health practitioners,Non-government,Individuals,"55,52,38,942","58,09,50,298",85,88
2021-22,Vic,Primary health care,Other health practitioners,Non-government,Other sources of fund,"18,83,36,624","19,70,57,896",29,30
2021-22,Vic,Primary health care,Public health,Australian Government,DoHAC and other,"2,78,25,55,275","2,89,09,68,182",424,440
2021-22,Vic,Primary health care,Public health,Non-government,Individuals,"3,56,58,971","3,70,49,046",5,6
2021-22,Vic,Primary health care,Public health,Non-government,Other sources of fund,"2,86,14,865","2,97,30,343",4,5
2021-22,Vic,Primary health care,Public health,State and local government,State and local government,"1,67,21,85,086","1,73,73,71,011",255,265
2021-22,Vic,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"1,48,80,184","1,53,77,098",2,2
2021-22,Vic,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"2,78,54,85,303","2,87,85,18,451",424,438
2021-22,Vic,Primary health care,Unreferred medical services,Non-government,Individuals,"24,79,68,671","25,62,49,426",38,39
2021-22,Vic,Primary health care,Unreferred medical services,Non-government,Other sources of fund,"25,72,92,336","26,58,84,450",39,40
2021-22,Vic,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"10,30,87,876","10,65,30,430",16,16
2021-22,Vic,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"3,73,77,04,111","3,86,25,22,356",569,588
2021-22,Vic,Referred medical services,Referred medical services,Australian Government,Premium rebates,"15,58,47,286","16,10,51,707",24,25
2021-22,Vic,Referred medical services,Referred medical services,Non-government,Health Insurance Funds,"43,54,81,017","45,00,23,628",66,69
2021-22,Vic,Referred medical services,Referred medical services,Non-government,Individuals,"1,00,72,39,285","1,04,08,75,399",153,159
2021-22,Vic,Research,Research,Australian Government,DoHAC and other,"1,71,36,33,695","1,76,84,69,973",261,269
2021-22,Vic,Research,Research,Non-government,Individuals,"1,83,959","1,89,846",0,0
2021-22,Vic,Research,Research,Non-government,Other sources of fund,"13,78,07,796","14,22,17,645",21,22
2021-22,Vic,Research,Research,State and local government,State and local government,"7,27,07,137","7,50,33,765",11,11
2021-22,WA,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"1,32,82,076","1,40,39,686",5,5
2021-22,WA,Capital expenditure,Capital expenditure,Non-government,Other sources of fund,"70,32,56,365","76,93,67,629",255,278
2021-22,WA,Capital expenditure,Capital expenditure,State and local government,State and local government,"38,60,00,000","41,80,02,038",140,151
2021-22,WA,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"5,78,69,665","6,00,46,893",21,22
2021-22,WA,Hospitals,Private hospitals,Australian Government,DoHAC and other,"40,18,96,203","42,13,98,827",145,153
2021-22,WA,Hospitals,Private hospitals,Australian Government,Premium rebates,"37,96,98,108","39,39,83,477",137,143
2021-22,WA,Hospitals,Private hospitals,Non-government,Health Insurance Funds,"1,06,09,82,979","1,10,09,00,305",384,398
2021-22,WA,Hospitals,Private hospitals,Non-government,Individuals,"31,41,53,619","32,59,73,010",114,118
2021-22,WA,Hospitals,Private hospitals,Non-government,Other sources of fund,"18,46,02,822","19,15,48,128",67,69
2021-22,WA,Hospitals,Private hospitals,State and local government,State and local government,0,0,0,0
2021-22,WA,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"4,73,43,406","4,91,24,605",17,18
2021-22,WA,Hospitals,Public hospital services,Australian Government,DoHAC and other,"3,04,15,84,621","3,16,19,51,160","1,101","1,144"
2021-22,WA,Hospitals,Public hospital services,Australian Government,Premium rebates,"2,50,07,176","2,59,48,020",9,9
2021-22,WA,Hospitals,Public hospital services,Non-government,Health Insurance Funds,"6,98,77,062","7,25,06,044",25,26
2021-22,WA,Hospitals,Public hospital services,Non-government,Individuals,"17,02,51,902","17,66,57,284",62,64
2021-22,WA,Hospitals,Public hospital services,Non-government,Other sources of fund,"4,81,27,308","4,99,38,000",17,18
2021-22,WA,Hospitals,Public hospital services,State and local government,State and local government,"4,78,59,33,364","4,96,59,94,372","1,732","1,797"
2021-22,WA,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,0,0,0,0
2021-22,WA,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,0,0,0,0
2021-22,WA,Other services,Administration,Australian Government,DoHAC and other,"19,44,85,252","20,04,36,022",70,73
2021-22,WA,Other services,Administration,Australian Government,Premium rebates,"8,51,02,123","8,76,55,186",31,32
2021-22,WA,Other services,Administration,Non-government,Health Insurance Funds,"23,77,99,193","24,49,33,169",86,89
2021-22,WA,Other services,Administration,Non-government,Individuals,"1,52,58,570","1,57,16,327",6,6
2021-22,WA,Other services,Administration,Non-government,Other sources of fund,"34,32,664","35,35,644",1,1
2021-22,WA,Other services,Administration,State and local government,State and local government,"72,90,73,213","75,09,45,359",264,272
2021-22,WA,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"1,18,09,027","1,21,96,369",4,4
2021-22,WA,Other services,Aids and appliances,Australian Government,DoHAC and other,"4,31,88,660","4,46,05,268",16,16
2021-22,WA,Other services,Aids and appliances,Australian Government,Premium rebates,"3,68,32,000","3,80,40,107",13,14
2021-22,WA,Other services,Aids and appliances,Non-government,Health Insurance Funds,"10,29,18,934","10,62,94,724",37,38
2021-22,WA,Other services,Aids and appliances,Non-government,Individuals,"62,86,60,805","64,92,81,179",228,235
2021-22,WA,Other services,Aids and appliances,Non-government,Other sources of fund,"4,55,87,408","4,70,82,697",16,17
2021-22,WA,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"68,45,642","71,03,195",2,3
2021-22,WA,Other services,Patient transport services,Australian Government,DoHAC and other,"3,01,57,997","3,12,92,631",11,11
2021-22,WA,Other services,Patient transport services,Australian Government,Premium rebates,"1,43,93,958","1,49,35,501",5,5
2021-22,WA,Other services,Patient transport services,Non-government,Health Insurance Funds,"4,02,20,755","4,17,33,979",15,15
2021-22,WA,Other services,Patient transport services,Non-government,Individuals,"23,82,241","24,71,868",1,1
2021-22,WA,Other services,Patient transport services,Non-government,Other sources of fund,"1,21,93,337","1,26,52,086",4,5
2021-22,WA,Other services,Patient transport services,State and local government,State and local government,"32,96,43,116","34,20,45,268",119,124
2021-22,WA,Primary health care,All other medications,Australian Government,DoHAC and other,"10,85,87,378","11,18,84,713",39,40
2021-22,WA,Primary health care,All other medications,Australian Government,Premium rebates,"34,13,744","35,17,405",1,1
2021-22,WA,Primary health care,All other medications,Non-government,Health Insurance Funds,"95,38,958","98,28,615",3,4
2021-22,WA,Primary health care,All other medications,Non-government,Individuals,"1,49,91,60,186","1,55,91,44,261",543,564
2021-22,WA,Primary health care,All other medications,Non-government,Other sources of fund,"1,69,23,468","1,74,37,361",6,6
2021-22,WA,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"3,12,29,404","3,45,38,739",11,13
2021-22,WA,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"1,14,45,19,681","1,26,25,28,219",414,457
2021-22,WA,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"15,80,12,356","17,47,56,701",57,63
2021-22,WA,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"12,90,111","13,28,814",0,0
2021-22,WA,Primary health care,Community health and other,Australian Government,DoHAC and other,"16,76,66,802","17,33,67,681",61,63
2021-22,WA,Primary health care,Community health and other,Australian Government,Premium rebates,"11,423","11,766",0,0
2021-22,WA,Primary health care,Community health and other,Non-government,Health Insurance Funds,"31,920","32,878",0,0
2021-22,WA,Primary health care,Community health and other,Non-government,Individuals,"12,84,57,922","13,23,11,660",46,48
2021-22,WA,Primary health care,Community health and other,Non-government,Other sources of fund,"13,95,223","14,37,079",1,1
2021-22,WA,Primary health care,Community health and other,State and local government,State and local government,"1,04,46,11,569","1,07,58,07,377",378,389
2021-22,WA,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"92,89,087","94,55,382",3,3
2021-22,WA,Primary health care,Dental services,Australian Government,DoHAC and other,"1,74,72,085","1,77,84,874",6,6
2021-22,WA,Primary health care,Dental services,Australian Government,Premium rebates,"11,99,77,704","12,21,25,565",43,44
2021-22,WA,Primary health care,Dental services,Non-government,Health Insurance Funds,"33,52,51,347","34,12,53,073",121,124
2021-22,WA,Primary health care,Dental services,Non-government,Individuals,"1,12,45,58,779","1,14,46,90,819",407,414
2021-22,WA,Primary health care,Dental services,Non-government,Other sources of fund,"37,68,453","38,35,916",1,1
2021-22,WA,Primary health care,Dental services,State and local government,State and local government,"10,56,99,219","10,75,91,464",38,39
2021-22,WA,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"2,67,77,840","2,80,17,837",10,10
2021-22,WA,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"23,96,02,378","25,06,97,605",87,91
2021-22,WA,Primary health care,Other health practitioners,Australian Government,Premium rebates,"4,68,50,427","4,90,19,922",17,18
2021-22,WA,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"13,09,13,230","13,69,75,407",47,50
2021-22,WA,Primary health care,Other health practitioners,Non-government,Individuals,"-10,05,91,938","-10,52,50,031",-36,-38
2021-22,WA,Primary health care,Other health practitioners,Non-government,Other sources of fund,"3,79,79,588","3,97,38,303",14,14
2021-22,WA,Primary health care,Public health,Australian Government,DoHAC and other,"1,26,20,47,837","1,30,95,06,384",457,474
