eInjury_01,DiagnosisCodeDescr
Y35.0,Legal intervention involving firearm discharge
Y35.00,Legal intervention involving unspecified firearm discharge
Y35.003,"Legal intervention involving unspecified firearm discharge, suspect injured"
Y35.013,"Legal intervention involving injury by machine gun, suspect injured"
Y35.02,Legal intervention involving injury by handgun
Y35.021,"Legal intervention involving injury by handgun, law enforcement official injured"
Y35.022,"Legal intervention involving injury by handgun, bystander injured"
Y35.023,"Legal intervention involving injury by handgun, suspect injured"
Y35.029A,"Legal intervention involving injury by handgun, unspecified person injured, initial encounter"
Y35.03,Legal intervention involving injury by rifle pellet
Y35.033,"Legal intervention involving injury by rifle pellet, suspect injured"
Y35.04,Legal intervention involving injury by rubber bullet
Y35.041,"Legal intervention involving injury by rubber bullet, law enforcement official injured"
Y35.09,Legal intervention involving other firearm discharge
Y35.091,"Legal intervention involving other firearm discharge, law enforcement official injured"
Y35.092,"Legal intervention involving other firearm discharge, bystander injured"
Y35.093,"Legal intervention involving other firearm discharge, suspect injured"
Y35.11,Legal intervention involving injury by dynamite
Y35.2,Legal intervention involving gas
Y35.203,"Legal intervention involving unspecified gas, suspect injured"
Y35.21,Legal intervention involving injury by tear gas
Y35.212,"Legal intervention involving injury by tear gas, bystander injured"
Y35.213,"Legal intervention involving injury by tear gas, suspect injured"
Y35.3,Legal intervention involving blunt objects
Y35.30,Legal intervention involving unspecified blunt objects
Y35.301,"Legal intervention involving unspecified blunt objects, law enforcement official injured"
Y35.31,Legal intervention involving baton
Y35.39,Legal intervention involving other blunt objects
Y35.391,"Legal intervention involving other blunt objects, law enforcement official injured"
Y35.391D,"Legal intervention involving other blunt objects, law enforcement official injured, subsequent encounter"
Y35.393,"Legal intervention involving other blunt objects, suspect injured"
Y35.40,Legal intervention involving unspecified sharp objects
Y35.412,"Legal intervention involving bayonet, bystander injured"
Y35.49,Legal intervention involving other sharp objects
Y35.491,"Legal intervention involving other sharp objects, law enforcement official injured"
Y35.493,"Legal intervention involving other sharp objects, suspect injured"
Y35.8,Legal intervention involving other specified means
Y35.81,Legal intervention involving manhandling
Y35.811,"Legal intervention involving manhandling, law enforcement official injured"
Y35.813,"Legal intervention involving manhandling, suspect injured"
Y35.83,Legal intervention involving a conducted energy device
Y35.89,Legal intervention involving other specified means
Y35.891,"Legal intervention involving other specified means, law enforcement official injured"
Y35.893,"Legal intervention involving other specified means, suspect injured"
Y35.9,"Legal intervention, means unspecified"
Y35.91,"Legal intervention, means unspecified, law enforcement official injured"
Y35.93,"Legal intervention, means unspecified, suspect injured"
Y35.99XA,"Legal intervention, means unspecified, unspecified person injured, initial encounter"
Y36.27,War operations involving fragments from weapons
Y36.820,"Explosion of bomb placed during war operations but exploding after cessation of hostilities, military personnel"
Y36.821,"Explosion of bomb placed during war operations but exploding after cessation of hostilities, civilian"
Y36.88,Other war operations occurring after cessation of hostilities
Y36.881,"Other war operations occurring after cessation of hostilities, civilian"
Y36.9,Other and unspecified war operations
Y36.90,"War operations, unspecified"
Y37.050,"Military operations involving accidental detonation of onboard marine weapons, military personnel"
Y37.41,Military operations involving rubber bullets
Y37.45,Military operations involving combat using blunt or piercing object
Y37.531,"Military operations involving thermal radiation effect of nuclear weapon, civilian"
Y37.59,Military operation involving other effects of nuclear weapons
Y37.9,Other and unspecified military operations
Y37.90,"Military operations, unspecified"
Y38,Terrorism
Y38.2,Terrorism involving other explosions and fragments
Y38.4,Terrorism involving firearms
Y38.6,Terrorism involving biological weapons
Y38.7,Terrorism involving chemical weapons
Y76.0,Diagnostic and monitoring obstetric and gynecological devices associated with adverse incidents
Y79.1,Therapeutic (nonsurgical) and rehabilitative orthopedic devices associated with adverse incidents
Y79.3,"Surgical instruments, materials and orthopedic devices (including sutures) associated with adverse incidents"
Y81.3,"Surgical instruments, materials and general- and plastic-surgery devices (including sutures) associated with adverse incidents"
Y82,Other and unspecified medical devices associated with adverse incidents
Y82.8,Other medical devices associated with adverse incidents
Y82.9,Unspecified medical devices associated with adverse incidents
Y83.4,"Other reconstructive surgery as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y83.8,"Other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y84,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y84.6,"Urinary catheterization as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y84.9,"Medical procedure, unspecified as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y92.002,Bathroom of unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92.009,Unspecified place in unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92.017,Garden or yard in single-family (private) house as the place of occurrence of the external cause
Y92.030,Kitchen in apartment as the place of occurrence of the external cause
Y92.12,Nursing home as the place of occurrence of the external cause
Y92.122,Bedroom in nursing home as the place of occurrence of the external cause
Y92.129,Unspecified place in nursing home as the place of occurrence of the external cause
Y92.211,Elementary school as the place of occurrence of the external cause
Y92.3,Sports and athletics area as the place of occurrence of the external cause
Y92.310,Basketball court as the place of occurrence of the external cause
Y92.320,Baseball field as the place of occurrence of the external cause
Y92.321,Football field as the place of occurrence of the external cause
Y92.39,Other specified sports and athletic area as the place of occurrence of the external cause
Y92.4,"Street, highway and other paved roadways as the place of occurrence of the external cause"
Y92.48,Other paved roadways as the place of occurrence of the external cause
Y92.482,Bike path as the place of occurrence of the external cause
Y92.530,Ambulatory surgery center as the place of occurrence of the external cause
Y92.62,Dock or shipyard as the place of occurrence of the external cause
Y92.73,Farm field as the place of occurrence of the external cause
Y92.81,Transport vehicle as the place of occurrence of the external cause
Y92.810,Car as the place of occurrence of the external cause
Y92.813,Airplane as the place of occurrence of the external cause
Y92.814,Boat as the place of occurrence of the external cause
Y92.818,Other transport vehicle as the place of occurrence of the external cause
Y92.83,Recreation area as the place of occurrence of the external cause
Y92.89,Other specified places as the place of occurrence of the external cause
Y92.9,Unspecified place or not applicable
Y93.0,Activities involving walking and running
Y93.01,"Activity, walking, marching and hiking"
Y93.02,"Activity, running"
Y93.1,Activities involving water and water craft
Y93.11,"Activity, swimming"
Y93.15,"Activity, underwater diving and snorkeling"
Y93.17,"Activity, water skiing and wake boarding"
Y93.18,"Activity, surfing, windsurfing and boogie boarding"
Y93.19,"Activity, other involving water and watercraft"
Y93.2,Activities involving ice and snow
Y93.21,"Activity, ice skating"
Y93.22,"Activity, ice hockey"
Y93.23,"Activity, snow (alpine) (downhill) skiing, snowboarding, sledding, tobogganing and snow tubing"
Y93.24,"Activity, cross country skiing"
Y93.29,"Activity, other involving ice and snow"
Y93.3,"Activities involving climbing, rappelling and jumping off"
Y93.4,Activities involving dancing and other rhythmic movement
Y93.41,"Activity, dancing"
Y93.43,"Activity, gymnastics"
Y93.44,"Activity, trampolining"
Y93.49,"Activity, other involving dancing and other rhythmic movements"
Y93.5,Activities involving other sports and athletics played individually
Y93.51,"Activity, roller skating (inline) and skateboarding"
Y93.52,"Activity, horseback riding"
Y93.53,"Activity, golf"
Y93.55,"Activity, bike riding"
Y93.6,Activities involving other sports and athletics played as a team or group
Y93.61,"Activity, american tackle football"
Y93.62,"Activity, american flag or touch football"
Y93.64,"Activity, baseball"
Y93.65,"Activity, lacrosse and field hockey"
Y93.66,"Activity, soccer"
Y93.67,"Activity, basketball"
Y93.68,"Activity, volleyball (beach) (court)"
Y93.69,"Activity, other involving other sports and athletics played as a team or group"
Y93.6A,"Activity, physical games generally associated with school recess, summer camp and children"
Y93.7,Activities involving other specified sports and athletics
Y93.71,"Activity, boxing"
Y93.72,"Activity, wrestling"
Y93.73,"Activity, racquet and hand sports"
Y93.75,"Activity, martial arts"
Y93.79,"Activity, other specified sports and athletics"
Y93.8,"Activities, other specified"
Y93.81,"Activity, refereeing a sports activity"
Y93.83,"Activity, rough housing and horseplay"
Y93.84,"Activity, sleeping"
Y93.85,"Activity, choking game"
Y93.89,"Activity, other specified"
Y93.9,"Activity, unspecified"
Y93.A,Activities involving other cardiorespiratory exercise
Y93.A1,"Activity, exercise machines primarily for cardiorespiratory conditioning"
Y93.A2,"Activity, calisthenics"
Y93.A3,"Activity, aerobic and step exercise"
Y93.A5,"Activity, obstacle course"
Y93.A9,"Activity, other involving cardiorespiratory exercise"
Y93.B,Activities involving other muscle strengthening exercises
Y93.B1,"Activity, exercise machines primarily for muscle strengthening"
Y93.B2,"Activity, push-ups, pull-ups, sit-ups"
Y93.B3,"Activity, free weights"
Y93.B9,"Activity, other involving muscle strengthening exercises"
Y93.C2,"Activity, hand held interactive electronic device"
Y93.D1,"Activity, knitting and crocheting"
Y93.D2,"Activity, sewing"
Y93.D9,"Activity, other involving arts and handcrafts"
Y93.E1,"Activity, personal bathing and showering"
Y93.E2,"Activity, laundry"
Y93.E5,"Activity, floor mopping and cleaning"
