eSituation_12,DiagnosisCodeDescr
T20.24XA,"Burn of second degree of nose (septum), initial encounter"
T20.27XA,"Burn of second degree of neck, initial encounter"
T20.29XA,"Burn of second degree of multiple sites of head, face, and neck, initial encounter"
T20.30,"Burn of third degree of head, face, and neck, unspecified site"
T20.36,Burn of third degree of forehead and cheek
T20.53XS,"Corrosion of first degree of chin, sequela"
T20.55XA,"Corrosion of first degree of scalp [any part], initial encounter"
T21,Burn and corrosion of trunk
T21.0,Burn of unspecified degree of trunk
T21.00XA,"Burn of unspecified degree of trunk, unspecified site, initial encounter"
T21.00XD,"Burn of unspecified degree of trunk, unspecified site, subsequent encounter"
T21.01,Burn of unspecified degree of chest wall
T21.01XA,"Burn of unspecified degree of chest wall, initial encounter"
T21.02,Burn of unspecified degree of abdominal wall
T21.02XA,"Burn of unspecified degree of abdominal wall, initial encounter"
T21.03,Burn of unspecified degree of upper back
T21.03XA,"Burn of unspecified degree of upper back, initial encounter"
T21.04,Burn of unspecified degree of lower back
T21.04XA,"Burn of unspecified degree of lower back, initial encounter"
T21.05,Burn of unspecified degree of buttock
T21.05XA,"Burn of unspecified degree of buttock, initial encounter"
T21.06XA,"Burn of unspecified degree of male genital region, initial encounter"
T21.09XA,"Burn of unspecified degree of other site of trunk, initial encounter"
T21.1,Burn of first degree of trunk
T21.10,"Burn of first degree of trunk, unspecified site"
T21.11,Burn of first degree of chest wall
T21.11XA,"Burn of first degree of chest wall, initial encounter"
T21.12XA,"Burn of first degree of abdominal wall, initial encounter"
T21.14,Burn of first degree of lower back
T21.2,Burn of second degree of trunk
T21.20,"Burn of second degree of trunk, unspecified site"
T21.20XA,"Burn of second degree of trunk, unspecified site, initial encounter"
T21.21XA,"Burn of second degree of chest wall, initial encounter"
T21.23XA,"Burn of second degree of upper back, initial encounter"
T21.24XA,"Burn of second degree of lower back, initial encounter"
T21.25,Burn of second degree of buttock
T21.25XA,"Burn of second degree of buttock, initial encounter"
T21.27XA,"Burn of second degree of female genital region, initial encounter"
T21.3,Burn of third degree of trunk
T21.30XA,"Burn of third degree of trunk, unspecified site, initial encounter"
T21.33XA,"Burn of third degree of upper back, initial encounter"
T22.0,"Burn of unspecified degree of shoulder and upper limb, except wrist and hand"
T22.00,"Burn of unspecified degree of shoulder and upper limb, except wrist and hand, unspecified site"
T22.00XA,"Burn of unspecified degree of shoulder and upper limb, except wrist and hand, unspecified site, initial encounter"
T22.011A,"Burn of unspecified degree of right forearm, initial encounter"
T22.011D,"Burn of unspecified degree of right forearm, subsequent encounter"
T22.012A,"Burn of unspecified degree of left forearm, initial encounter"
T22.012D,"Burn of unspecified degree of left forearm, subsequent encounter"
T22.019A,"Burn of unspecified degree of unspecified forearm, initial encounter"
T22.021A,"Burn of unspecified degree of right elbow, initial encounter"
T22.022A,"Burn of unspecified degree of left elbow, initial encounter"
T22.051D,"Burn of unspecified degree of right shoulder, subsequent encounter"
T22.059A,"Burn of unspecified degree of unspecified shoulder, initial encounter"
T22.10,"Burn of first degree of shoulder and upper limb, except wrist and hand, unspecified site"
T22.11,Burn of first degree of forearm
T22.111,Burn of first degree of right forearm
T22.112A,"Burn of first degree of left forearm, initial encounter"
T22.119A,"Burn of first degree of unspecified forearm, initial encounter"
T22.132A,"Burn of first degree of left upper arm, initial encounter"
T22.139A,"Burn of first degree of unspecified upper arm, initial encounter"
T22.151A,"Burn of first degree of right shoulder, initial encounter"
T22.191,"Burn of first degree of multiple sites of right shoulder and upper limb, except wrist and hand"
T22.191A,"Burn of first degree of multiple sites of right shoulder and upper limb, except wrist and hand, initial encounter"
T22.20,"Burn of second degree of shoulder and upper limb, except wrist and hand, unspecified site"
T22.21,Burn of second degree of forearm
T22.211,Burn of second degree of right forearm
T22.211A,"Burn of second degree of right forearm, initial encounter"
T22.212A,"Burn of second degree of left forearm, initial encounter"
T22.219A,"Burn of second degree of unspecified forearm, initial encounter"
T22.231A,"Burn of second degree of right upper arm, initial encounter"
T22.232A,"Burn of second degree of left upper arm, initial encounter"
T22.239,Burn of second degree of unspecified upper arm
T22.239A,"Burn of second degree of unspecified upper arm, initial encounter"
T22.291A,"Burn of second degree of multiple sites of right shoulder and upper limb, except wrist and hand, initial encounter"
T22.292A,"Burn of second degree of multiple sites of left shoulder and upper limb, except wrist and hand, initial encounter"
T22.30,"Burn of third degree of shoulder and upper limb, except wrist and hand, unspecified site"
T22.31,Burn of third degree of forearm
T22.33,Burn of third degree of upper arm
T22.511A,"Corrosion of first degree of right forearm, initial encounter"
T23.0,Burn of unspecified degree of wrist and hand
T23.00,"Burn of unspecified degree of hand, unspecified site"
T23.001A,"Burn of unspecified degree of right hand, unspecified site, initial encounter"
T23.001D,"Burn of unspecified degree of right hand, unspecified site, subsequent encounter"
T23.002A,"Burn of unspecified degree of left hand, unspecified site, initial encounter"
T23.002D,"Burn of unspecified degree of left hand, unspecified site, subsequent encounter"
T23.009A,"Burn of unspecified degree of unspecified hand, unspecified site, initial encounter"
T23.032A,"Burn of unspecified degree of multiple left fingers (nail), not including thumb, initial encounter"
T23.041A,"Burn of unspecified degree of multiple right fingers (nail), including thumb, initial encounter"
T23.059A,"Burn of unspecified degree of unspecified palm, initial encounter"
T23.079A,"Burn of unspecified degree of unspecified wrist, initial encounter"
T23.10,"Burn of first degree of hand, unspecified site"
T23.101,"Burn of first degree of right hand, unspecified site"
T23.101A,"Burn of first degree of right hand, unspecified site, initial encounter"
T23.102,"Burn of first degree of left hand, unspecified site"
T23.102A,"Burn of first degree of left hand, unspecified site, initial encounter"
T23.122A,"Burn of first degree of single left finger (nail) except thumb, initial encounter"
T23.152A,"Burn of first degree of left palm, initial encounter"
T23.162,Burn of first degree of back of left hand
T23.169,Burn of first degree of back of unspecified hand
T23.171,Burn of first degree of right wrist
T23.20,"Burn of second degree of hand, unspecified site"
T23.201,"Burn of second degree of right hand, unspecified site"
T23.201A,"Burn of second degree of right hand, unspecified site, initial encounter"
T23.202,"Burn of second degree of left hand, unspecified site"
T23.202A,"Burn of second degree of left hand, unspecified site, initial encounter"
T23.209A,"Burn of second degree of unspecified hand, unspecified site, initial encounter"
T23.229A,"Burn of second degree of unspecified single finger (nail) except thumb, initial encounter"
T23.231A,"Burn of second degree of multiple right fingers (nail), not including thumb, initial encounter"
T23.232A,"Burn of second degree of multiple left fingers (nail), not including thumb, initial encounter"
T23.242A,"Burn of second degree of multiple left fingers (nail), including thumb, initial encounter"
T23.251A,"Burn of second degree of right palm, initial encounter"
T23.252A,"Burn of second degree of left palm, initial encounter"
T23.269A,"Burn of second degree of back of unspecified hand, initial encounter"
T23.271A,"Burn of second degree of right wrist, initial encounter"
T23.299A,"Burn of second degree of multiple sites of unspecified wrist and hand, initial encounter"
T23.30,"Burn of third degree of hand, unspecified site"
T23.321A,"Burn of third degree of single right finger (nail) except thumb, initial encounter"
T23.36,Burn of third degree of back of hand
T24.0,"Burn of unspecified degree of lower limb, except ankle and foot"
T24.00,"Burn of unspecified degree of unspecified site of lower limb, except ankle and foot"
T24.001A,"Burn of unspecified degree of unspecified site of right lower limb, except ankle and foot, initial encounter"
T24.002D,"Burn of unspecified degree of unspecified site of left lower limb, except ankle and foot, subsequent encounter"
T24.009,"Burn of unspecified degree of unspecified site of unspecified lower limb, except ankle and foot"
T24.009A,"Burn of unspecified degree of unspecified site of unspecified lower limb, except ankle and foot, initial encounter"
T24.011A,"Burn of unspecified degree of right thigh, initial encounter"
T24.012A,"Burn of unspecified degree of left thigh, initial encounter"
T24.019A,"Burn of unspecified degree of unspecified thigh, initial encounter"
T24.029A,"Burn of unspecified degree of unspecified knee, initial encounter"
T24.031A,"Burn of unspecified degree of right lower leg, initial encounter"
T24.032,Burn of unspecified degree of left lower leg
T24.032A,"Burn of unspecified degree of left lower leg, initial encounter"
T24.039A,"Burn of unspecified degree of unspecified lower leg, initial encounter"
T24.1,"Burn of first degree of lower limb, except ankle and foot"
T24.10,"Burn of first degree of unspecified site of lower limb, except ankle and foot"
T24.101A,"Burn of first degree of unspecified site of right lower limb, except ankle and foot, initial encounter"
T24.109A,"Burn of first degree of unspecified site of unspecified lower limb, except ankle and foot, initial encounter"
T24.111,Burn of first degree of right thigh
T24.132,Burn of first degree of left lower leg
T24.20,"Burn of second degree of unspecified site of lower limb, except ankle and foot"
T24.201A,"Burn of second degree of unspecified site of right lower limb, except ankle and foot, initial encounter"
T24.201D,"Burn of second degree of unspecified site of right lower limb, except ankle and foot, subsequent encounter"
T24.202A,"Burn of second degree of unspecified site of left lower limb, except ankle and foot, initial encounter"
T24.209A,"Burn of second degree of unspecified site of unspecified lower limb, except ankle and foot, initial encounter"
T24.211,Burn of second degree of right thigh
T24.211A,"Burn of second degree of right thigh, initial encounter"
T24.212,Burn of second degree of left thigh
T24.212A,"Burn of second degree of left thigh, initial encounter"
T24.219A,"Burn of second degree of unspecified thigh, initial encounter"
T24.222,Burn of second degree of left knee
T24.231,Burn of second degree of right lower leg
T24.231A,"Burn of second degree of right lower leg, initial encounter"
T24.232,Burn of second degree of left lower leg
T24.239A,"Burn of second degree of unspecified lower leg, initial encounter"
T24.291,"Burn of second degree of multiple sites of right lower limb, except ankle and foot"
T24.302A,"Burn of third degree of unspecified site of left lower limb, except ankle and foot, initial encounter"
